PREFIX,NEXT,SUB,ARAM,HEB,ALL
כִּ,י,יְ,1,1,1
לִ,י,יְ,1,1,1
בִּ,י,יְ,1,1,1
כִּ,בְ,בְּ,1,1,1
כִּ,גְ,גְּ,1,1,1
כִּ,דְ,דְּ,1,1,1
כִּ,כְ,כְּ,1,1,1
כִּ,פְ,פְּ,1,1,1
כִּ,תְ,תְּ,1,1,1
לִ,בְ,בְּ,1,1,1
לִ,גְ,גְּ,1,1,1
לִ,דְ,דְּ,1,1,1
לִ,כְ,כְּ,1,1,1
לִ,פְ,פְּ,1,1,1
לִ,תְ,תְּ,1,1,1
בִּ,בְ,בְּ,1,1,1
בִּ,גְ,גְּ,1,1,1
בִּ,דְ,דְּ,1,1,1
בִּ,כְ,כְּ,1,1,1
בִּ,פְ,פְּ,1,1,1
בִּ,תְ,תְּ,1,1,1
כִּ,חְ,חְ,1,1,1
כִּ,רְ,רְ,1,1,1
לִ,חְ,חְ,1,1,1
לִ,רְ,רְ,1,1,1
בִּ,חְ,חְ,1,1,1
בִּ,רְ,רְ,1,1,1
כִּ,וְ,וְ,1,1,1
כִּ,זְ,זְ,1,1,1
כִּ,טְ,טְ,1,1,1
כִּ,יְ,יְ,1,1,1
כִּ,לְ,לְ,1,1,1
כִּ,מְ,מְ,1,1,1
כִּ,נְ,נְ,1,1,1
כִּ,סְ,סְ,1,1,1
כִּ,צְ,צְ,1,1,1
כִּ,קְ,קְ,1,1,1
כִּ,שְׁ,שְׁ,1,1,1
כִּ,שְׂ,שְׂ,1,1,1
לִ,וְ,וְ,1,1,1
לִ,זְ,זְ,1,1,1
לִ,טְ,טְ,1,1,1
לִ,יְ,יְ,1,1,1
לִ,לְ,לְ,1,1,1
לִ,מְ,מְ,1,1,1
לִ,נְ,נְ,1,1,1
לִ,סְ,סְ,1,1,1
לִ,צְ,צְ,1,1,1
לִ,קְ,קְ,1,1,1
לִ,שְׁ,שְׁ,1,1,1
לִ,שְׂ,שְׂ,1,1,1
בִּ,וְ,וְ,1,1,1
בִּ,זְ,זְ,1,1,1
בִּ,טְ,טְ,1,1,1
בִּ,יְ,יְ,1,1,1
בִּ,לְ,לְ,1,1,1
בִּ,מְ,מְ,1,1,1
בִּ,נְ,נְ,1,1,1
בִּ,סְ,סְ,1,1,1
בִּ,צְ,צְ,1,1,1
בִּ,קְ,קְ,1,1,1
בִּ,שְׁ,שְׁ,1,1,1
בִּ,שְׂ,שְׂ,1,1,1
כָּ,בֳ,בֳּ,1,1,1
כָּ,גֳ,גֳּ,1,1,1
כָּ,דֳ,דֳּ,1,1,1
כָּ,כֳ,כֳּ,1,1,1
כָּ,פֳ,פֳּ,1,1,1
כָּ,תֳ,תֳּ,1,1,1
לָ,בֳ,בֳּ,1,1,1
לָ,גֳ,גֳּ,1,1,1
לָ,דֳ,דֳּ,1,1,1
לָ,כֳ,כֳּ,1,1,1
לָ,פֳ,פֳּ,1,1,1
לָ,תֳ,תֳּ,1,1,1
בָּ,בֳ,בֳּ,1,1,1
בָּ,גֳ,גֳּ,1,1,1
בָּ,דֳ,דֳּ,1,1,1
בָּ,כֳ,כֳּ,1,1,1
בָּ,פֳ,פֳּ,1,1,1
בָּ,תֳ,תֳּ,1,1,1
כַּ,בֲ,בֲּ,1,1,1
כַּ,גֲ,גֲּ,1,1,1
כַּ,דֲ,דֲּ,1,1,1
כַּ,כֲ,כֲּ,1,1,1
כַּ,פֲ,פֲּ,1,1,1
כַּ,תֲ,תֲּ,1,1,1
לַ,בֲ,בֲּ,1,1,1
לַ,גֲ,גֲּ,1,1,1
לַ,דֲ,דֲּ,1,1,1
לַ,כֲ,כֲּ,1,1,1
לַ,פֲ,פֲּ,1,1,1
לַ,תֲ,תֲּ,1,1,1
בַּ,בֲ,בֲּ,1,1,1
בַּ,גֲ,גֲּ,1,1,1
בַּ,דֲ,דֲּ,1,1,1
בַּ,כֲ,כֲּ,1,1,1
בַּ,פֲ,פֲּ,1,1,1
בַּ,תֲ,תֲּ,1,1,1
כֶּ,בֱ,בֱּ,1,1,1
כֶּ,גֱ,גֱּ,1,1,1
כֶּ,דֱ,דֱּ,1,1,1
כֶּ,כֱ,כֱּ,1,1,1
כֶּ,פֱ,פֱּ,1,1,1
כֶּ,תֱ,תֱּ,1,1,1
לֶ,בֱ,בֱּ,1,1,1
לֶ,גֱ,גֱּ,1,1,1
לֶ,דֱ,דֱּ,1,1,1
לֶ,כֱ,כֱּ,1,1,1
לֶ,פֱ,פֱּ,1,1,1
לֶ,תֱ,תֱּ,1,1,1
בֶּ,בֱ,בֱּ,1,1,1
בֶּ,גֱ,גֱּ,1,1,1
בֶּ,דֱ,דֱּ,1,1,1
בֶּ,כֱ,כֱּ,1,1,1
בֶּ,פֱ,פֱּ,1,1,1
בֶּ,תֱ,תֱּ,1,1,1
כֶּ,טֱ,טֱ,1,1,1
כֶּ,יֱ,יֱ,1,1,1
כֶּ,לֱ,לֱ,1,1,1
כֶּ,מֱ,מֱ,1,1,1
כֶּ,נֱ,נֱ,1,1,1
כֶּ,סֱ,סֱ,1,1,1
כֶּ,צֱ,צֱ,1,1,1
כֶּ,קֱ,קֱ,1,1,1
כֶּ,שֱׁ,שֱׁ,1,1,1
כֶּ,שֱׂ,שֱׂ,1,1,1
לֶ,אֱ,אֱ,1,1,1
לֶ,הֱ,הֱ,1,1,1
לֶ,חֱ,חֱ,1,1,1
לֶ,עֱ,עֱ,1,1,1
לֶ,רֱ,רֱ,1,1,1
לֶ,וֱ,וֱ,1,1,1
לֶ,זֱ,זֱ,1,1,1
לֶ,טֱ,טֱ,1,1,1
לֶ,יֱ,יֱ,1,1,1
לֶ,לֱ,לֱ,1,1,1
לֶ,מֱ,מֱ,1,1,1
לֶ,נֱ,נֱ,1,1,1
לֶ,סֱ,סֱ,1,1,1
לֶ,צֱ,צֱ,1,1,1
לֶ,קֱ,קֱ,1,1,1
לֶ,שֱׁ,שֱׁ,1,1,1
לֶ,שֱׂ,שֱׂ,1,1,1
בֶּ,אֱ,אֱ,1,1,1
בֶּ,הֱ,הֱ,1,1,1
בֶּ,חֱ,חֱ,1,1,1
בֶּ,עֱ,עֱ,1,1,1
בֶּ,רֱ,רֱ,1,1,1
בֶּ,וֱ,וֱ,1,1,1
בֶּ,זֱ,זֱ,1,1,1
בֶּ,טֱ,טֱ,1,1,1
בֶּ,יֱ,יֱ,1,1,1
בֶּ,לֱ,לֱ,1,1,1
בֶּ,מֱ,מֱ,1,1,1
בֶּ,נֱ,נֱ,1,1,1
בֶּ,סֱ,סֱ,1,1,1
בֶּ,צֱ,צֱ,1,1,1
בֶּ,קֱ,קֱ,1,1,1
בֶּ,שֱׁ,שֱׁ,1,1,1
בֶּ,שֱׂ,שֱׂ,1,1,1
כְּ,בֹ,בֹּ,1,1,1
כְּ,בָ,בָּ,1,1,1
כְּ,בֵ,בֵּ,1,1,1
כְּ,בַ,בַּ,1,1,1
כְּ,בֶ,בֶּ,1,1,1
כְּ,בִ,בִּ,1,1,1
כְּ,בֻ,בֻּ,1,1,1
כְּ,גֹ,גֹּ,1,1,1
כְּ,גָ,גָּ,1,1,1
כְּ,גֵ,גֵּ,1,1,1
כְּ,גַ,גַּ,1,1,1
כְּ,גֶ,גֶּ,1,1,1
כְּ,גִ,גִּ,1,1,1
כְּ,גֻ,גֻּ,1,1,1
כְּ,דֹ,דֹּ,1,1,1
כְּ,דָ,דָּ,1,1,1
כְּ,דֵ,דֵּ,1,1,1
כְּ,דַ,דַּ,1,1,1
כְּ,דֶ,דֶּ,1,1,1
כְּ,דִ,דִּ,1,1,1
כְּ,דֻ,דֻּ,1,1,1
כְּ,כֹ,כֹּ,1,1,1
כְּ,כָ,כָּ,1,1,1
כְּ,כֵ,כֵּ,1,1,1
כְּ,כַ,כַּ,1,1,1
כְּ,כֶ,כֶּ,1,1,1
כְּ,כִ,כִּ,1,1,1
כְּ,כֻ,כֻּ,1,1,1
כְּ,פֹ,פֹּ,1,1,1
כְּ,פָ,פָּ,1,1,1
כְּ,פֵ,פֵּ,1,1,1
כְּ,פַ,פַּ,1,1,1
כְּ,פֶ,פֶּ,1,1,1
כְּ,פִ,פִּ,1,1,1
כְּ,פֻ,פֻּ,1,1,1
כְּ,תֹ,תֹּ,1,1,1
כְּ,תָ,תָּ,1,1,1
כְּ,תֵ,תֵּ,1,1,1
כְּ,תַ,תַּ,1,1,1
כְּ,תֶ,תֶּ,1,1,1
כְּ,תִ,תִּ,1,1,1
כְּ,תֻ,תֻּ,1,1,1
לְ,בֹ,בֹּ,1,1,1
לְ,בָ,בָּ,1,1,1
לְ,בֵ,בֵּ,1,1,1
לְ,בַ,בַּ,1,1,1
לְ,בֶ,בֶּ,1,1,1
לְ,בִ,בִּ,1,1,1
לְ,בֻ,בֻּ,1,1,1
לְ,גֹ,גֹּ,1,1,1
לְ,גָ,גָּ,1,1,1
לְ,גֵ,גֵּ,1,1,1
לְ,גַ,גַּ,1,1,1
לְ,גֶ,גֶּ,1,1,1
לְ,גִ,גִּ,1,1,1
לְ,גֻ,גֻּ,1,1,1
לְ,דֹ,דֹּ,1,1,1
לְ,דָ,דָּ,1,1,1
לְ,דֵ,דֵּ,1,1,1
לְ,דַ,דַּ,1,1,1
לְ,דֶ,דֶּ,1,1,1
לְ,דִ,דִּ,1,1,1
לְ,דֻ,דֻּ,1,1,1
לְ,כֹ,כֹּ,1,1,1
לְ,כָ,כָּ,1,1,1
לְ,כֵ,כֵּ,1,1,1
לְ,כַ,כַּ,1,1,1
לְ,כֶ,כֶּ,1,1,1
לְ,כִ,כִּ,1,1,1
לְ,כֻ,כֻּ,1,1,1
לְ,פֹ,פֹּ,1,1,1
לְ,פָ,פָּ,1,1,1
לְ,פֵ,פֵּ,1,1,1
לְ,פַ,פַּ,1,1,1
לְ,פֶ,פֶּ,1,1,1
לְ,פִ,פִּ,1,1,1
לְ,פֻ,פֻּ,1,1,1
לְ,תֹ,תֹּ,1,1,1
לְ,תָ,תָּ,1,1,1
לְ,תֵ,תֵּ,1,1,1
לְ,תַ,תַּ,1,1,1
לְ,תֶ,תֶּ,1,1,1
לְ,תִ,תִּ,1,1,1
לְ,תֻ,תֻּ,1,1,1
בְּ,בֹ,בֹּ,1,1,1
בְּ,בָ,בָּ,1,1,1
בְּ,בֵ,בֵּ,1,1,1
בְּ,בַ,בַּ,1,1,1
בְּ,בֶ,בֶּ,1,1,1
בְּ,בִ,בִּ,1,1,1
בְּ,בֻ,בֻּ,1,1,1
בְּ,גֹ,גֹּ,1,1,1
בְּ,גָ,גָּ,1,1,1
בְּ,גֵ,גֵּ,1,1,1
בְּ,גַ,גַּ,1,1,1
בְּ,גֶ,גֶּ,1,1,1
בְּ,גִ,גִּ,1,1,1
בְּ,גֻ,גֻּ,1,1,1
בְּ,דֹ,דֹּ,1,1,1
בְּ,דָ,דָּ,1,1,1
בְּ,דֵ,דֵּ,1,1,1
בְּ,דַ,דַּ,1,1,1
בְּ,דֶ,דֶּ,1,1,1
בְּ,דִ,דִּ,1,1,1
בְּ,דֻ,דֻּ,1,1,1
בְּ,כֹ,כֹּ,1,1,1
בְּ,כָ,כָּ,1,1,1
בְּ,כֵ,כֵּ,1,1,1
בְּ,כַ,כַּ,1,1,1
בְּ,כֶ,כֶּ,1,1,1
בְּ,כִ,כִּ,1,1,1
בְּ,כֻ,כֻּ,1,1,1
בְּ,פֹ,פֹּ,1,1,1
בְּ,פָ,פָּ,1,1,1
בְּ,פֵ,פֵּ,1,1,1
בְּ,פַ,פַּ,1,1,1
בְּ,פֶ,פֶּ,1,1,1
בְּ,פִ,פִּ,1,1,1
בְּ,פֻ,פֻּ,1,1,1
בְּ,תֹ,תֹּ,1,1,1
בְּ,תָ,תָּ,1,1,1
בְּ,תֵ,תֵּ,1,1,1
בְּ,תַ,תַּ,1,1,1
בְּ,תֶ,תֶּ,1,1,1
בְּ,תִ,תִּ,1,1,1
בְּ,תֻ,תֻּ,1,1,1
כְּ,טֹ,טֹ,1,1,1
כְּ,טָ,טָ,1,1,1
כְּ,טֵ,טֵ,1,1,1
כְּ,טַ,טַ,1,1,1
כְּ,טֶ,טֶ,1,1,1
כְּ,טִ,טִ,1,1,1
כְּ,טֻ,טֻ,1,1,1
כְּ,יֹ,יֹ,1,1,1
כְּ,יָ,יָ,1,1,1
כְּ,יֵ,יֵ,1,1,1
כְּ,יַ,יַ,1,1,1
כְּ,יֶ,יֶ,1,1,1
כְּ,יִ,יִ,1,1,1
כְּ,יֻ,יֻ,1,1,1
כְּ,לֹ,לֹ,1,1,1
כְּ,לָ,לָ,1,1,1
כְּ,לֵ,לֵ,1,1,1
כְּ,לַ,לַ,1,1,1
כְּ,לֶ,לֶ,1,1,1
כְּ,לִ,לִ,1,1,1
כְּ,לֻ,לֻ,1,1,1
כְּ,מֹ,מֹ,1,1,1
כְּ,מָ,מָ,1,1,1
כְּ,מֵ,מֵ,1,1,1
כְּ,מַ,מַ,1,1,1
כְּ,מֶ,מֶ,1,1,1
כְּ,מִ,מִ,1,1,1
כְּ,מֻ,מֻ,1,1,1
כְּ,נֹ,נֹ,1,1,1
כְּ,נָ,נָ,1,1,1
כְּ,נֵ,נֵ,1,1,1
כְּ,נַ,נַ,1,1,1
כְּ,נֶ,נֶ,1,1,1
כְּ,נִ,נִ,1,1,1
כְּ,נֻ,נֻ,1,1,1
כְּ,סֹ,סֹ,1,1,1
כְּ,סָ,סָ,1,1,1
כְּ,סֵ,סֵ,1,1,1
כְּ,סַ,סַ,1,1,1
כְּ,סֶ,סֶ,1,1,1
כְּ,סִ,סִ,1,1,1
כְּ,סֻ,סֻ,1,1,1
כְּ,צֹ,צֹ,1,1,1
כְּ,צָ,צָ,1,1,1
כְּ,צֵ,צֵ,1,1,1
כְּ,צַ,צַ,1,1,1
כְּ,צֶ,צֶ,1,1,1
כְּ,צִ,צִ,1,1,1
כְּ,צֻ,צֻ,1,1,1
כְּ,קֹ,קֹ,1,1,1
כְּ,קָ,קָ,1,1,1
כְּ,קֵ,קֵ,1,1,1
כְּ,קַ,קַ,1,1,1
כְּ,קֶ,קֶ,1,1,1
כְּ,קִ,קִ,1,1,1
כְּ,קֻ,קֻ,1,1,1
כְּ,שֹׁ,שֹׁ,1,1,1
כְּ,שָׁ,שָׁ,1,1,1
כְּ,שֵׁ,שֵׁ,1,1,1
כְּ,שַׁ,שַׁ,1,1,1
כְּ,שֶׁ,שֶׁ,1,1,1
כְּ,שִׁ,שִׁ,1,1,1
כְּ,שֻׁ,שֻׁ,1,1,1
כְּ,שֹׂ,שֹׂ,1,1,1
כְּ,שָׂ,שָׂ,1,1,1
כְּ,שֵׂ,שֵׂ,1,1,1
כְּ,שַׂ,שַׂ,1,1,1
כְּ,שֶׂ,שֶׂ,1,1,1
כְּ,שִׂ,שִׂ,1,1,1
כְּ,שֻׂ,שֻׂ,1,1,1
לְ,אֹ,אֹ,1,1,1
לְ,אָ,אָ,1,1,1
לְ,אֵ,אֵ,1,1,1
לְ,אַ,אַ,1,1,1
לְ,אֶ,אֶ,1,1,1
לְ,אִ,אִ,1,1,1
לְ,אֻ,אֻ,1,1,1
לְ,הֹ,הֹ,1,1,1
לְ,הָ,הָ,1,1,1
לְ,הֵ,הֵ,1,1,1
לְ,הַ,הַ,1,1,1
לְ,הֶ,הֶ,1,1,1
לְ,הִ,הִ,1,1,1
לְ,הֻ,הֻ,1,1,1
לְ,חֹ,חֹ,1,1,1
לְ,חָ,חָ,1,1,1
לְ,חֵ,חֵ,1,1,1
לְ,חַ,חַ,1,1,1
לְ,חֶ,חֶ,1,1,1
לְ,חִ,חִ,1,1,1
לְ,חֻ,חֻ,1,1,1
לְ,עֹ,עֹ,1,1,1
לְ,עָ,עָ,1,1,1
לְ,עֵ,עֵ,1,1,1
לְ,עַ,עַ,1,1,1
לְ,עֶ,עֶ,1,1,1
לְ,עִ,עִ,1,1,1
לְ,עֻ,עֻ,1,1,1
לְ,רֹ,רֹ,1,1,1
לְ,רָ,רָ,1,1,1
לְ,רֵ,רֵ,1,1,1
לְ,רַ,רַ,1,1,1
לְ,רֶ,רֶ,1,1,1
לְ,רִ,רִ,1,1,1
לְ,רֻ,רֻ,1,1,1
לְ,וֹ,וֹ,1,1,1
לְ,וָ,וָ,1,1,1
לְ,וֵ,וֵ,1,1,1
לְ,וַ,וַ,1,1,1
לְ,וֶ,וֶ,1,1,1
לְ,וִ,וִ,1,1,1
לְ,וֻ,וֻ,1,1,1
לְ,זֹ,זֹ,1,1,1
לְ,זָ,זָ,1,1,1
לְ,זֵ,זֵ,1,1,1
לְ,זַ,זַ,1,1,1
לְ,זֶ,זֶ,1,1,1
לְ,זִ,זִ,1,1,1
לְ,זֻ,זֻ,1,1,1
לְ,טֹ,טֹ,1,1,1
לְ,טָ,טָ,1,1,1
לְ,טֵ,טֵ,1,1,1
לְ,טַ,טַ,1,1,1
לְ,טֶ,טֶ,1,1,1
לְ,טִ,טִ,1,1,1
לְ,טֻ,טֻ,1,1,1
לְ,יֹ,יֹ,1,1,1
לְ,יָ,יָ,1,1,1
לְ,יֵ,יֵ,1,1,1
לְ,יַ,יַ,1,1,1
לְ,יֶ,יֶ,1,1,1
לְ,יִ,יִ,1,1,1
לְ,יֻ,יֻ,1,1,1
לְ,לֹ,לֹ,1,1,1
לְ,לָ,לָ,1,1,1
לְ,לֵ,לֵ,1,1,1
לְ,לַ,לַ,1,1,1
לְ,לֶ,לֶ,1,1,1
לְ,לִ,לִ,1,1,1
לְ,לֻ,לֻ,1,1,1
לְ,מֹ,מֹ,1,1,1
לְ,מָ,מָ,1,1,1
לְ,מֵ,מֵ,1,1,1
לְ,מַ,מַ,1,1,1
לְ,מֶ,מֶ,1,1,1
לְ,מִ,מִ,1,1,1
לְ,מֻ,מֻ,1,1,1
לְ,נֹ,נֹ,1,1,1
לְ,נָ,נָ,1,1,1
לְ,נֵ,נֵ,1,1,1
לְ,נַ,נַ,1,1,1
לְ,נֶ,נֶ,1,1,1
לְ,נִ,נִ,1,1,1
לְ,נֻ,נֻ,1,1,1
לְ,סֹ,סֹ,1,1,1
לְ,סָ,סָ,1,1,1
לְ,סֵ,סֵ,1,1,1
לְ,סַ,סַ,1,1,1
לְ,סֶ,סֶ,1,1,1
לְ,סִ,סִ,1,1,1
לְ,סֻ,סֻ,1,1,1
לְ,צֹ,צֹ,1,1,1
לְ,צָ,צָ,1,1,1
לְ,צֵ,צֵ,1,1,1
לְ,צַ,צַ,1,1,1
לְ,צֶ,צֶ,1,1,1
לְ,צִ,צִ,1,1,1
לְ,צֻ,צֻ,1,1,1
לְ,קֹ,קֹ,1,1,1
לְ,קָ,קָ,1,1,1
לְ,קֵ,קֵ,1,1,1
לְ,קַ,קַ,1,1,1
לְ,קֶ,קֶ,1,1,1
לְ,קִ,קִ,1,1,1
לְ,קֻ,קֻ,1,1,1
לְ,שֹׁ,שֹׁ,1,1,1
לְ,שָׁ,שָׁ,1,1,1
לְ,שֵׁ,שֵׁ,1,1,1
לְ,שַׁ,שַׁ,1,1,1
לְ,שֶׁ,שֶׁ,1,1,1
לְ,שִׁ,שִׁ,1,1,1
לְ,שֻׁ,שֻׁ,1,1,1
לְ,שֹׂ,שֹׂ,1,1,1
לְ,שָׂ,שָׂ,1,1,1
לְ,שֵׂ,שֵׂ,1,1,1
לְ,שַׂ,שַׂ,1,1,1
לְ,שֶׂ,שֶׂ,1,1,1
לְ,שִׂ,שִׂ,1,1,1
לְ,שֻׂ,שֻׂ,1,1,1
בְּ,אֹ,אֹ,1,1,1
בְּ,אָ,אָ,1,1,1
בְּ,אֵ,אֵ,1,1,1
בְּ,אַ,אַ,1,1,1
בְּ,אֶ,אֶ,1,1,1
בְּ,אִ,אִ,1,1,1
בְּ,אֻ,אֻ,1,1,1
בְּ,הֹ,הֹ,1,1,1
בְּ,הָ,הָ,1,1,1
בְּ,הֵ,הֵ,1,1,1
בְּ,הַ,הַ,1,1,1
בְּ,הֶ,הֶ,1,1,1
בְּ,הִ,הִ,1,1,1
בְּ,הֻ,הֻ,1,1,1
בְּ,חֹ,חֹ,1,1,1
בְּ,חָ,חָ,1,1,1
בְּ,חֵ,חֵ,1,1,1
בְּ,חַ,חַ,1,1,1
בְּ,חֶ,חֶ,1,1,1
בְּ,חִ,חִ,1,1,1
בְּ,חֻ,חֻ,1,1,1
בְּ,עֹ,עֹ,1,1,1
בְּ,עָ,עָ,1,1,1
בְּ,עֵ,עֵ,1,1,1
בְּ,עַ,עַ,1,1,1
בְּ,עֶ,עֶ,1,1,1
בְּ,עִ,עִ,1,1,1
בְּ,עֻ,עֻ,1,1,1
בְּ,רֹ,רֹ,1,1,1
בְּ,רָ,רָ,1,1,1
בְּ,רֵ,רֵ,1,1,1
בְּ,רַ,רַ,1,1,1
בְּ,רֶ,רֶ,1,1,1
בְּ,רִ,רִ,1,1,1
בְּ,רֻ,רֻ,1,1,1
בְּ,וֹ,וֹ,1,1,1
בְּ,וָ,וָ,1,1,1
בְּ,וֵ,וֵ,1,1,1
בְּ,וַ,וַ,1,1,1
בְּ,וֶ,וֶ,1,1,1
בְּ,וִ,וִ,1,1,1
בְּ,וֻ,וֻ,1,1,1
בְּ,זֹ,זֹ,1,1,1
בְּ,זָ,זָ,1,1,1
בְּ,זֵ,זֵ,1,1,1
בְּ,זַ,זַ,1,1,1
בְּ,זֶ,זֶ,1,1,1
בְּ,זִ,זִ,1,1,1
בְּ,זֻ,זֻ,1,1,1
בְּ,טֹ,טֹ,1,1,1
בְּ,טָ,טָ,1,1,1
בְּ,טֵ,טֵ,1,1,1
בְּ,טַ,טַ,1,1,1
בְּ,טֶ,טֶ,1,1,1
בְּ,טִ,טִ,1,1,1
בְּ,טֻ,טֻ,1,1,1
בְּ,יֹ,יֹ,1,1,1
בְּ,יָ,יָ,1,1,1
בְּ,יֵ,יֵ,1,1,1
בְּ,יַ,יַ,1,1,1
בְּ,יֶ,יֶ,1,1,1
בְּ,יִ,יִ,1,1,1
בְּ,יֻ,יֻ,1,1,1
בְּ,לֹ,לֹ,1,1,1
בְּ,לָ,לָ,1,1,1
בְּ,לֵ,לֵ,1,1,1
בְּ,לַ,לַ,1,1,1
בְּ,לֶ,לֶ,1,1,1
בְּ,לִ,לִ,1,1,1
בְּ,לֻ,לֻ,1,1,1
בְּ,מֹ,מֹ,1,1,1
בְּ,מָ,מָ,1,1,1
בְּ,מֵ,מֵ,1,1,1
בְּ,מַ,מַ,1,1,1
בְּ,מֶ,מֶ,1,1,1
בְּ,מִ,מִ,1,1,1
בְּ,מֻ,מֻ,1,1,1
בְּ,נֹ,נֹ,1,1,1
בְּ,נָ,נָ,1,1,1
בְּ,נֵ,נֵ,1,1,1
בְּ,נַ,נַ,1,1,1
בְּ,נֶ,נֶ,1,1,1
בְּ,נִ,נִ,1,1,1
בְּ,נֻ,נֻ,1,1,1
בְּ,סֹ,סֹ,1,1,1
בְּ,סָ,סָ,1,1,1
בְּ,סֵ,סֵ,1,1,1
בְּ,סַ,סַ,1,1,1
בְּ,סֶ,סֶ,1,1,1
בְּ,סִ,סִ,1,1,1
בְּ,סֻ,סֻ,1,1,1
בְּ,צֹ,צֹ,1,1,1
בְּ,צָ,צָ,1,1,1
בְּ,צֵ,צֵ,1,1,1
בְּ,צַ,צַ,1,1,1
בְּ,צֶ,צֶ,1,1,1
בְּ,צִ,צִ,1,1,1
בְּ,צֻ,צֻ,1,1,1
בְּ,קֹ,קֹ,1,1,1
בְּ,קָ,קָ,1,1,1
בְּ,קֵ,קֵ,1,1,1
בְּ,קַ,קַ,1,1,1
בְּ,קֶ,קֶ,1,1,1
בְּ,קִ,קִ,1,1,1
בְּ,קֻ,קֻ,1,1,1
בְּ,שֹׁ,שֹׁ,1,1,1
בְּ,שָׁ,שָׁ,1,1,1
בְּ,שֵׁ,שֵׁ,1,1,1
